"IMDBCode","DATE","X1","X2","X3"
"tt1745960",2022-06-04,"10","39.6%",36591
"tt1745960",2022-06-04,"9","29.6%",27304
"tt1745960",2022-06-04,"8","20.1%",18546
"tt1745960",2022-06-04,"7","7.2%",6608
"tt1745960",2022-06-04,"6","1.8%",1658
"tt1745960",2022-06-04,"5","0.5%",497
"tt1745960",2022-06-04,"4","0.2%",226
"tt1745960",2022-06-04,"3","0.1%",138
"tt1745960",2022-06-04,"2","0.2%",145
"tt1745960",2022-06-04,"1","0.7%",628
"tt4513678",2022-06-04,"10","14.7%",22344
"tt4513678",2022-06-04,"9","11.7%",17829
"tt4513678",2022-06-04,"8","24.4%",37183
"tt4513678",2022-06-04,"7","25.4%",38640
"tt4513678",2022-06-04,"6","13.3%",20311
"tt4513678",2022-06-04,"5","5.2%",7882
"tt4513678",2022-06-04,"4","2.2%",3330
"tt4513678",2022-06-04,"3","1.1%",1703
"tt4513678",2022-06-04,"2","0.7%",1100
"tt4513678",2022-06-04,"1","1.2%",1850
"tt7286456",2022-06-04,"10","30.1%",361135
"tt7286456",2022-06-04,"9","26.8%",321460
"tt7286456",2022-06-04,"8","22.4%",268454
"tt7286456",2022-06-04,"7","11.1%",133437
"tt7286456",2022-06-04,"6","4.4%",52570
"tt7286456",2022-06-04,"5","1.8%",22108
"tt7286456",2022-06-04,"4","0.9%",10663
"tt7286456",2022-06-04,"3","0.6%",6795
"tt7286456",2022-06-04,"2","0.5%",5587
"tt7286456",2022-06-04,"1","1.3%",15992
"tt1289401",2022-06-04,"10","9.9%",22550
"tt1289401",2022-06-04,"9","3.4%",7763
"tt1289401",2022-06-04,"8","7.7%",17470
"tt1289401",2022-06-04,"7","13.1%",29826
"tt1289401",2022-06-04,"6","16.1%",36603
"tt1289401",2022-06-04,"5","13.1%",29757
"tt1289401",2022-06-04,"4","8.1%",18424
"tt1289401",2022-06-04,"3","5.7%",13050
"tt1289401",2022-06-04,"2","5.1%",11557
"tt1289401",2022-06-04,"1","17.7%",40294
"tt3079380",2022-06-04,"10","8.6%",20964
"tt3079380",2022-06-04,"9","9.0%",21806
"tt3079380",2022-06-04,"8","23.1%",55951
"tt3079380",2022-06-04,"7","31.1%",75388
"tt3079380",2022-06-04,"6","16.0%",38731
"tt3079380",2022-06-04,"5","6.1%",14778
"tt3079380",2022-06-04,"4","2.4%",5761
"tt3079380",2022-06-04,"3","1.3%",3090
"tt3079380",2022-06-04,"2","0.8%",1904
"tt3079380",2022-06-04,"1","1.7%",4204
"tt19885626",2022-06-04,"10","21.8%",2270
"tt19885626",2022-06-04,"9","15.0%",1570
"tt19885626",2022-06-04,"8","27.5%",2873
"tt19885626",2022-06-04,"7","19.7%",2054
"tt19885626",2022-06-04,"6","8.0%",832
"tt19885626",2022-06-04,"5","2.8%",287
"tt19885626",2022-06-04,"4","1.4%",143
"tt19885626",2022-06-04,"3","0.7%",69
"tt19885626",2022-06-04,"2","0.8%",82
"tt19885626",2022-06-04,"1","2.5%",256
"tt9419884",2022-06-04,"10","15.2%",29176
"tt9419884",2022-06-04,"9","11.7%",22454
"tt9419884",2022-06-04,"8","24.9%",47638
"tt9419884",2022-06-04,"7","23.9%",45720
"tt9419884",2022-06-04,"6","11.9%",22777
"tt9419884",2022-06-04,"5","4.9%",9338
"tt9419884",2022-06-04,"4","2.2%",4246
"tt9419884",2022-06-04,"3","1.3%",2438
"tt9419884",2022-06-04,"2","0.9%",1711
"tt9419884",2022-06-04,"1","3.1%",5865
"tt10872600",2022-06-04,"10","38.6%",249069
"tt10872600",2022-06-04,"9","21.9%",141151
"tt10872600",2022-06-04,"8","19.0%",122473
"tt10872600",2022-06-04,"7","10.8%",69586
"tt10872600",2022-06-04,"6","4.2%",27453
"tt10872600",2022-06-04,"5","1.7%",11132
"tt10872600",2022-06-04,"4","0.8%",5106
"tt10872600",2022-06-04,"3","0.5%",3479
"tt10872600",2022-06-04,"2","0.4%",2633
"tt10872600",2022-06-04,"1","2.1%",13884
"tt8466564",2022-06-04,"10","38.6%",13836
"tt8466564",2022-06-04,"9","17.9%",6417
"tt8466564",2022-06-04,"8","14.7%",5269
"tt8466564",2022-06-04,"7","6.3%",2255
"tt8466564",2022-06-04,"6","4.3%",1539
"tt8466564",2022-06-04,"5","3.6%",1287
"tt8466564",2022-06-04,"4","2.7%",972
"tt8466564",2022-06-04,"3","2.6%",948
"tt8466564",2022-06-04,"2","2.8%",987
"tt8466564",2022-06-04,"1","6.6%",2369
"tt13636426",2022-06-04,"10","23.7%",3495
"tt13636426",2022-06-04,"9","16.5%",2424
"tt13636426",2022-06-04,"8","24.6%",3627
"tt13636426",2022-06-04,"7","14.8%",2186
"tt13636426",2022-06-04,"6","7.5%",1099
"tt13636426",2022-06-04,"5","4.4%",644
"tt13636426",2022-06-04,"4","2.3%",338
"tt13636426",2022-06-04,"3","1.8%",259
"tt13636426",2022-06-04,"2","1.4%",203
"tt13636426",2022-06-04,"1","3.0%",449
"tt13820658",2022-06-04,"10","25.2%",3500
"tt13820658",2022-06-04,"9","16.9%",2341
"tt13820658",2022-06-04,"8","22.6%",3130
"tt13820658",2022-06-04,"7","12.9%",1794
"tt13820658",2022-06-04,"6","7.3%",1019
"tt13820658",2022-06-04,"5","4.7%",653
"tt13820658",2022-06-04,"4","2.5%",347
"tt13820658",2022-06-04,"3","2.1%",290
"tt13820658",2022-06-04,"2","1.9%",262
"tt13820658",2022-06-04,"1","3.9%",539
"tt13840822",2022-06-04,"10","33.6%",3729
"tt13840822",2022-06-04,"9","23.7%",2633
"tt13840822",2022-06-04,"8","14.9%",1649
"tt13840822",2022-06-04,"7","7.3%",811
"tt13840822",2022-06-04,"6","5.0%",550
"tt13840822",2022-06-04,"5","3.7%",406
"tt13840822",2022-06-04,"4","2.6%",289
"tt13840822",2022-06-04,"3","2.3%",255
"tt13840822",2022-06-04,"2","1.9%",209
"tt13840822",2022-06-04,"1","5.1%",564
"tt4574334",2022-06-04,"10","34.8%",354555
"tt4574334",2022-06-04,"9","29.5%",300012
"tt4574334",2022-06-04,"8","20.7%",210173
"tt4574334",2022-06-04,"7","8.7%",88420
"tt4574334",2022-06-04,"6","2.9%",29828
"tt4574334",2022-06-04,"5","1.2%",12052
"tt4574334",2022-06-04,"4","0.6%",5670
"tt4574334",2022-06-04,"3","0.4%",3919
"tt4574334",2022-06-04,"2","0.3%",2805
"tt4574334",2022-06-04,"1","1.0%",10168
"tt11043488",2022-06-04,"10","27.9%",3193
"tt11043488",2022-06-04,"9","23.7%",2715
"tt11043488",2022-06-04,"8","27.5%",3154
"tt11043488",2022-06-04,"7","10.6%",1217
"tt11043488",2022-06-04,"6","4.1%",475
"tt11043488",2022-06-04,"5","2.0%",224
"tt11043488",2022-06-04,"4","0.9%",105
"tt11043488",2022-06-04,"3","0.6%",71
"tt11043488",2022-06-04,"2","0.8%",90
"tt11043488",2022-06-04,"1","1.9%",217
"tt11171932",2022-06-04,"10","28.4%",2661
"tt11171932",2022-06-04,"9","24.9%",2332
"tt11171932",2022-06-04,"8","29.5%",2768
"tt11171932",2022-06-04,"7","9.8%",915
"tt11171932",2022-06-04,"6","3.3%",309
"tt11171932",2022-06-04,"5","1.1%",103
"tt11171932",2022-06-04,"4","0.7%",61
"tt11171932",2022-06-04,"3","0.5%",45
"tt11171932",2022-06-04,"2","0.5%",50
"tt11171932",2022-06-04,"1","1.3%",125
"tt11171954",2022-06-04,"10","32.2%",2768
"tt11171954",2022-06-04,"9","30.7%",2639
"tt11171954",2022-06-04,"8","24.1%",2067
"tt11171954",2022-06-04,"7","7.9%",677
"tt11171954",2022-06-04,"6","2.1%",177
"tt11171954",2022-06-04,"5","0.8%",67
"tt11171954",2022-06-04,"4","0.4%",35
"tt11171954",2022-06-04,"3","0.4%",35
"tt11171954",2022-06-04,"2","0.3%",25
"tt11171954",2022-06-04,"1","1.2%",101
"tt11171978",2022-06-04,"10","78.0%",11604
"tt11171978",2022-06-04,"9","14.0%",2082
"tt11171978",2022-06-04,"8","4.4%",650
"tt11171978",2022-06-04,"7","1.5%",217
"tt11171978",2022-06-04,"6","0.6%",85
"tt11171978",2022-06-04,"5","0.3%",49
"tt11171978",2022-06-04,"4","0.2%",27
"tt11171978",2022-06-04,"3","0.1%",15
"tt11171978",2022-06-04,"2","0.2%",26
"tt11171978",2022-06-04,"1","0.9%",131
"tt11172000",2022-06-04,"10","31.9%",2326
"tt11172000",2022-06-04,"9","26.8%",1951
"tt11172000",2022-06-04,"8","27.0%",1970
"tt11172000",2022-06-04,"7","8.5%",619
"tt11172000",2022-06-04,"6","2.5%",183
"tt11172000",2022-06-04,"5","0.9%",66
"tt11172000",2022-06-04,"4","0.5%",37
"tt11172000",2022-06-04,"3","0.3%",21
"tt11172000",2022-06-04,"2","0.3%",21
"tt11172000",2022-06-04,"1","1.2%",90
"tt11172012",2022-06-04,"10","40.4%",2873
"tt11172012",2022-06-04,"9","33.1%",2354
"tt11172012",2022-06-04,"8","16.7%",1189
"tt11172012",2022-06-04,"7","5.1%",361
"tt11172012",2022-06-04,"6","1.5%",107
"tt11172012",2022-06-04,"5","0.8%",57
"tt11172012",2022-06-04,"4","0.4%",25
"tt11172012",2022-06-04,"3","0.3%",21
"tt11172012",2022-06-04,"2","0.3%",21
"tt11172012",2022-06-04,"1","1.4%",97
"tt11172022",2022-06-04,"10","84.0%",11823
"tt11172022",2022-06-04,"9","10.3%",1456
"tt11172022",2022-06-04,"8","2.7%",376
"tt11172022",2022-06-04,"7","1.0%",142
"tt11172022",2022-06-04,"6","0.4%",59
"tt11172022",2022-06-04,"5","0.2%",30
"tt11172022",2022-06-04,"4","0.1%",20
"tt11172022",2022-06-04,"3","0.1%",14
"tt11172022",2022-06-04,"2","0.2%",23
"tt11172022",2022-06-04,"1","1.0%",137
"tt3480822",2022-06-04,"10","8.9%",31650
"tt3480822",2022-06-04,"9","6.3%",22182
"tt3480822",2022-06-04,"8","17.3%",61195
"tt3480822",2022-06-04,"7","29.8%",105359
"tt3480822",2022-06-04,"6","20.8%",73628
"tt3480822",2022-06-04,"5","8.6%",30307
"tt3480822",2022-06-04,"4","3.5%",12215
"tt3480822",2022-06-04,"3","1.7%",6157
"tt3480822",2022-06-04,"2","1.0%",3656
"tt3480822",2022-06-04,"1","2.1%",7482
"tt10160804",2022-06-04,"10","16.1%",25530
"tt10160804",2022-06-04,"9","14.5%",22969
"tt10160804",2022-06-04,"8","30.0%",47561
"tt10160804",2022-06-04,"7","23.2%",36670
"tt10160804",2022-06-04,"6","9.1%",14373
"tt10160804",2022-06-04,"5","3.1%",4900
"tt10160804",2022-06-04,"4","1.2%",1958
"tt10160804",2022-06-04,"3","0.7%",1113
"tt10160804",2022-06-04,"2","0.5%",836
"tt10160804",2022-06-04,"1","1.5%",2417
