"IMDBCode","DATE","X1","X2","X3"
"tt1745960",2022-06-10,"10","38.3%",50611
"tt1745960",2022-06-10,"9","29.8%",39363
"tt1745960",2022-06-10,"8","20.7%",27320
"tt1745960",2022-06-10,"7","7.5%",9902
"tt1745960",2022-06-10,"6","1.9%",2527
"tt1745960",2022-06-10,"5","0.6%",765
"tt1745960",2022-06-10,"4","0.3%",342
"tt1745960",2022-06-10,"3","0.2%",210
"tt1745960",2022-06-10,"2","0.2%",211
"tt1745960",2022-06-10,"1","0.7%",896
"tt4513678",2022-06-10,"10","14.6%",22494
"tt4513678",2022-06-10,"9","11.7%",17961
"tt4513678",2022-06-10,"8","24.4%",37557
"tt4513678",2022-06-10,"7","25.4%",39146
"tt4513678",2022-06-10,"6","13.4%",20606
"tt4513678",2022-06-10,"5","5.2%",7990
"tt4513678",2022-06-10,"4","2.2%",3390
"tt4513678",2022-06-10,"3","1.1%",1717
"tt4513678",2022-06-10,"2","0.7%",1107
"tt4513678",2022-06-10,"1","1.2%",1874
"tt7286456",2022-06-10,"10","30.1%",361507
"tt7286456",2022-06-10,"9","26.8%",322085
"tt7286456",2022-06-10,"8","22.4%",269041
"tt7286456",2022-06-10,"7","11.1%",133795
"tt7286456",2022-06-10,"6","4.4%",52683
"tt7286456",2022-06-10,"5","1.8%",22158
"tt7286456",2022-06-10,"4","0.9%",10684
"tt7286456",2022-06-10,"3","0.6%",6809
"tt7286456",2022-06-10,"2","0.5%",5600
"tt7286456",2022-06-10,"1","1.3%",16021
"tt1289401",2022-06-10,"10","9.9%",22561
"tt1289401",2022-06-10,"9","3.4%",7764
"tt1289401",2022-06-10,"8","7.7%",17488
"tt1289401",2022-06-10,"7","13.1%",29854
"tt1289401",2022-06-10,"6","16.1%",36633
"tt1289401",2022-06-10,"5","13.1%",29775
"tt1289401",2022-06-10,"4","8.1%",18434
"tt1289401",2022-06-10,"3","5.7%",13060
"tt1289401",2022-06-10,"2","5.1%",11571
"tt1289401",2022-06-10,"1","17.7%",40325
"tt3079380",2022-06-10,"10","8.6%",20975
"tt3079380",2022-06-10,"9","9.0%",21816
"tt3079380",2022-06-10,"8","23.1%",55961
"tt3079380",2022-06-10,"7","31.1%",75433
"tt3079380",2022-06-10,"6","16.0%",38745
"tt3079380",2022-06-10,"5","6.1%",14785
"tt3079380",2022-06-10,"4","2.4%",5768
"tt3079380",2022-06-10,"3","1.3%",3089
"tt3079380",2022-06-10,"2","0.8%",1905
"tt3079380",2022-06-10,"1","1.7%",4204
"tt19885626",2022-06-10,"10","20.2%",2590
"tt19885626",2022-06-10,"9","14.8%",1898
"tt19885626",2022-06-10,"8","27.8%",3573
"tt19885626",2022-06-10,"7","20.8%",2674
"tt19885626",2022-06-10,"6","8.3%",1061
"tt19885626",2022-06-10,"5","3.0%",382
"tt19885626",2022-06-10,"4","1.4%",178
"tt19885626",2022-06-10,"3","0.7%",90
"tt19885626",2022-06-10,"2","0.7%",95
"tt19885626",2022-06-10,"1","2.3%",301
"tt9419884",2022-06-10,"10","15.0%",29895
"tt9419884",2022-06-10,"9","11.6%",23077
"tt9419884",2022-06-10,"8","24.8%",49311
"tt9419884",2022-06-10,"7","24.1%",48026
"tt9419884",2022-06-10,"6","12.1%",23990
"tt9419884",2022-06-10,"5","5.0%",9855
"tt9419884",2022-06-10,"4","2.2%",4468
"tt9419884",2022-06-10,"3","1.3%",2564
"tt9419884",2022-06-10,"2","0.9%",1788
"tt9419884",2022-06-10,"1","3.1%",6075
"tt10872600",2022-06-10,"10","38.4%",249747
"tt10872600",2022-06-10,"9","21.9%",142137
"tt10872600",2022-06-10,"8","19.0%",123770
"tt10872600",2022-06-10,"7","10.8%",70419
"tt10872600",2022-06-10,"6","4.3%",27778
"tt10872600",2022-06-10,"5","1.7%",11271
"tt10872600",2022-06-10,"4","0.8%",5147
"tt10872600",2022-06-10,"3","0.5%",3524
"tt10872600",2022-06-10,"2","0.4%",2660
"tt10872600",2022-06-10,"1","2.1%",13947
"tt8466564",2022-06-10,"10","33.1%",16404
"tt8466564",2022-06-10,"9","16.0%",7939
"tt8466564",2022-06-10,"8","15.6%",7761
"tt8466564",2022-06-10,"7","8.1%",4025
"tt8466564",2022-06-10,"6","5.4%",2696
"tt8466564",2022-06-10,"5","4.4%",2166
"tt8466564",2022-06-10,"4","3.3%",1642
"tt8466564",2022-06-10,"3","3.3%",1619
"tt8466564",2022-06-10,"2","3.1%",1547
"tt8466564",2022-06-10,"1","7.7%",3826
"tt13636426",2022-06-10,"10","21.8%",3782
"tt13636426",2022-06-10,"9","14.6%",2535
"tt13636426",2022-06-10,"8","24.4%",4229
"tt13636426",2022-06-10,"7","16.3%",2830
"tt13636426",2022-06-10,"6","8.2%",1431
"tt13636426",2022-06-10,"5","4.8%",839
"tt13636426",2022-06-10,"4","2.6%",446
"tt13636426",2022-06-10,"3","1.9%",336
"tt13636426",2022-06-10,"2","1.5%",262
"tt13636426",2022-06-10,"1","3.8%",658
"tt13820658",2022-06-10,"10","22.6%",3749
"tt13820658",2022-06-10,"9","14.9%",2466
"tt13820658",2022-06-10,"8","22.1%",3663
"tt13820658",2022-06-10,"7","14.4%",2388
"tt13820658",2022-06-10,"6","8.4%",1395
"tt13820658",2022-06-10,"5","5.3%",878
"tt13820658",2022-06-10,"4","3.0%",501
"tt13820658",2022-06-10,"3","2.4%",392
"tt13820658",2022-06-10,"2","2.2%",357
"tt13820658",2022-06-10,"1","4.7%",772
"tt13840822",2022-06-10,"10","29.0%",4556
"tt13840822",2022-06-10,"9","20.8%",3259
"tt13840822",2022-06-10,"8","16.6%",2600
"tt13840822",2022-06-10,"7","9.2%",1447
"tt13840822",2022-06-10,"6","6.1%",950
"tt13840822",2022-06-10,"5","4.4%",689
"tt13840822",2022-06-10,"4","2.9%",451
"tt13840822",2022-06-10,"3","2.7%",417
"tt13840822",2022-06-10,"2","2.3%",356
"tt13840822",2022-06-10,"1","6.2%",974
"tt13840902",2022-06-10,"10","14.3%",1145
"tt13840902",2022-06-10,"9","6.9%",553
"tt13840902",2022-06-10,"8","14.1%",1130
"tt13840902",2022-06-10,"7","17.0%",1358
"tt13840902",2022-06-10,"6","13.2%",1056
"tt13840902",2022-06-10,"5","8.6%",692
"tt13840902",2022-06-10,"4","5.8%",465
"tt13840902",2022-06-10,"3","5.6%",449
"tt13840902",2022-06-10,"2","4.0%",317
"tt13840902",2022-06-10,"1","10.5%",845
"tt10857164",2022-06-10,"10","40.5%",5808
"tt10857164",2022-06-10,"9","8.2%",1175
"tt10857164",2022-06-10,"8","9.8%",1400
"tt10857164",2022-06-10,"7","5.8%",830
"tt10857164",2022-06-10,"6","2.8%",404
"tt10857164",2022-06-10,"5","2.1%",307
"tt10857164",2022-06-10,"4","1.8%",258
"tt10857164",2022-06-10,"3","2.2%",316
"tt10857164",2022-06-10,"2","3.3%",474
"tt10857164",2022-06-10,"1","23.5%",3379
"tt11860740",2022-06-10,"10","29.5%",1563
"tt11860740",2022-06-10,"9","12.1%",644
"tt11860740",2022-06-10,"8","20.3%",1078
"tt11860740",2022-06-10,"7","12.8%",679
"tt11860740",2022-06-10,"6","5.9%",312
"tt11860740",2022-06-10,"5","3.0%",160
"tt11860740",2022-06-10,"4","1.7%",92
"tt11860740",2022-06-10,"3","1.5%",78
"tt11860740",2022-06-10,"2","1.6%",86
"tt11860740",2022-06-10,"1","11.6%",614
"tt4574334",2022-06-10,"10","35.1%",361554
"tt4574334",2022-06-10,"9","29.5%",303365
"tt4574334",2022-06-10,"8","20.5%",211358
"tt4574334",2022-06-10,"7","8.6%",88603
"tt4574334",2022-06-10,"6","2.9%",29903
"tt4574334",2022-06-10,"5","1.2%",12122
"tt4574334",2022-06-10,"4","0.6%",5720
"tt4574334",2022-06-10,"3","0.4%",3949
"tt4574334",2022-06-10,"2","0.3%",2843
"tt4574334",2022-06-10,"1","1.0%",10313
"tt11043488",2022-06-10,"10","26.8%",3593
"tt11043488",2022-06-10,"9","23.4%",3132
"tt11043488",2022-06-10,"8","28.2%",3787
"tt11043488",2022-06-10,"7","11.1%",1491
"tt11043488",2022-06-10,"6","4.2%",568
"tt11043488",2022-06-10,"5","2.0%",271
"tt11043488",2022-06-10,"4","0.9%",121
