"IMDBCode","DATE","X1","X2","X3"
"tt1745960",2022-06-03,"10","40.0%",34217
"tt1745960",2022-06-03,"9","29.4%",25152
"tt1745960",2022-06-03,"8","19.9%",17042
"tt1745960",2022-06-03,"7","7.1%",6089
"tt1745960",2022-06-03,"6","1.8%",1505
"tt1745960",2022-06-03,"5","0.5%",464
"tt1745960",2022-06-03,"4","0.2%",213
"tt1745960",2022-06-03,"3","0.1%",127
"tt1745960",2022-06-03,"2","0.2%",132
"tt1745960",2022-06-03,"1","0.7%",586
"tt4513678",2022-06-03,"10","14.7%",22328
"tt4513678",2022-06-03,"9","11.7%",17810
"tt4513678",2022-06-03,"8","24.4%",37139
"tt4513678",2022-06-03,"7","25.4%",38559
"tt4513678",2022-06-03,"6","13.3%",20285
"tt4513678",2022-06-03,"5","5.2%",7865
"tt4513678",2022-06-03,"4","2.2%",3319
"tt4513678",2022-06-03,"3","1.1%",1701
"tt4513678",2022-06-03,"2","0.7%",1099
"tt4513678",2022-06-03,"1","1.2%",1848
"tt7286456",2022-06-03,"10","30.1%",361107
"tt7286456",2022-06-03,"9","26.8%",321412
"tt7286456",2022-06-03,"8","22.4%",268403
"tt7286456",2022-06-03,"7","11.1%",133389
"tt7286456",2022-06-03,"6","4.4%",52566
"tt7286456",2022-06-03,"5","1.8%",22102
"tt7286456",2022-06-03,"4","0.9%",10657
"tt7286456",2022-06-03,"3","0.6%",6796
"tt7286456",2022-06-03,"2","0.5%",5587
"tt7286456",2022-06-03,"1","1.3%",15991
"tt1289401",2022-06-03,"10","9.9%",22549
"tt1289401",2022-06-03,"9","3.4%",7762
"tt1289401",2022-06-03,"8","7.7%",17469
"tt1289401",2022-06-03,"7","13.1%",29821
"tt1289401",2022-06-03,"6","16.1%",36600
"tt1289401",2022-06-03,"5","13.1%",29752
"tt1289401",2022-06-03,"4","8.1%",18423
"tt1289401",2022-06-03,"3","5.7%",13050
"tt1289401",2022-06-03,"2","5.1%",11559
"tt1289401",2022-06-03,"1","17.7%",40287
"tt3079380",2022-06-03,"10","8.6%",20962
"tt3079380",2022-06-03,"9","9.0%",21806
"tt3079380",2022-06-03,"8","23.1%",55952
