"IMDBCode","DATE","X1","X2","X3"
"tt1745960",2022-06-08,"10","38.7%",47811
"tt1745960",2022-06-08,"9","29.7%",36775
"tt1745960",2022-06-08,"8","20.5%",25411
"tt1745960",2022-06-08,"7","7.4%",9147
"tt1745960",2022-06-08,"6","1.9%",2306
"tt1745960",2022-06-08,"5","0.6%",696
"tt1745960",2022-06-08,"4","0.3%",320
"tt1745960",2022-06-08,"3","0.2%",193
"tt1745960",2022-06-08,"2","0.2%",199
"tt1745960",2022-06-08,"1","0.7%",843
"tt4513678",2022-06-08,"10","14.6%",22459
"tt4513678",2022-06-08,"9","11.7%",17925
"tt4513678",2022-06-08,"8","24.4%",37488
"tt4513678",2022-06-08,"7","25.4%",39022
"tt4513678",2022-06-08,"6","13.4%",20540
"tt4513678",2022-06-08,"5","5.2%",7972
"tt4513678",2022-06-08,"4","2.2%",3372
"tt4513678",2022-06-08,"3","1.1%",1714
"tt4513678",2022-06-08,"2","0.7%",1106
"tt4513678",2022-06-08,"1","1.2%",1871
"tt7286456",2022-06-08,"10","30.1%",361404
"tt7286456",2022-06-08,"9","26.8%",321928
"tt7286456",2022-06-08,"8","22.4%",268906
"tt7286456",2022-06-08,"7","11.1%",133705
"tt7286456",2022-06-08,"6","4.4%",52650
"tt7286456",2022-06-08,"5","1.8%",22144
"tt7286456",2022-06-08,"4","0.9%",10680
"tt7286456",2022-06-08,"3","0.6%",6807
"tt7286456",2022-06-08,"2","0.5%",5599
"tt7286456",2022-06-08,"1","1.3%",16015
"tt1289401",2022-06-08,"10","9.9%",22560
"tt1289401",2022-06-08,"9","3.4%",7762
"tt1289401",2022-06-08,"8","7.7%",17486
"tt1289401",2022-06-08,"7","13.1%",29850
"tt1289401",2022-06-08,"6","16.1%",36621
"tt1289401",2022-06-08,"5","13.1%",29772
"tt1289401",2022-06-08,"4","8.1%",18433
"tt1289401",2022-06-08,"3","5.7%",13058
"tt1289401",2022-06-08,"2","5.1%",11568
"tt1289401",2022-06-08,"1","17.7%",40316
"tt3079380",2022-06-08,"10","8.6%",20966
"tt3079380",2022-06-08,"9","9.0%",21816
"tt3079380",2022-06-08,"8","23.1%",55960
"tt3079380",2022-06-08,"7","31.1%",75423
"tt3079380",2022-06-08,"6","16.0%",38741
"tt3079380",2022-06-08,"5","6.1%",14784
"tt3079380",2022-06-08,"4","2.4%",5767
"tt3079380",2022-06-08,"3","1.3%",3089
"tt3079380",2022-06-08,"2","0.8%",1905
