"IMDBCode","DATE","X1","X2","X3"
"tt13840822",2022-06-06,"9","23.0%",2854
"tt13840822",2022-06-06,"8","15.3%",1896
"tt13840822",2022-06-06,"7","7.7%",954
"tt13840822",2022-06-06,"6","5.2%",641
"tt13840822",2022-06-06,"5","3.9%",478
"tt13840822",2022-06-06,"4","2.7%",330
"tt13840822",2022-06-06,"3","2.4%",301
"tt13840822",2022-06-06,"2","1.9%",242
"tt13840822",2022-06-06,"1","5.5%",677
"tt4574334",2022-06-06,"10","34.9%",356789
"tt4574334",2022-06-06,"9","29.5%",301003
"tt4574334",2022-06-06,"8","20.6%",210570
"tt4574334",2022-06-06,"7","8.7%",88438
"tt4574334",2022-06-06,"6","2.9%",29851
"tt4574334",2022-06-06,"5","1.2%",12077
"tt4574334",2022-06-06,"4","0.6%",5690
"tt4574334",2022-06-06,"3","0.4%",3927
"tt4574334",2022-06-06,"2","0.3%",2814
"tt4574334",2022-06-06,"1","1.0%",10217
"tt11043488",2022-06-06,"10","27.5%",3336
"tt11043488",2022-06-06,"9","23.6%",2860
"tt11043488",2022-06-06,"8","27.9%",3382
"tt11043488",2022-06-06,"7","10.7%",1304
"tt11043488",2022-06-06,"6","4.2%",511
"tt11043488",2022-06-06,"5","1.9%",233
"tt11043488",2022-06-06,"4","0.9%",108
"tt11043488",2022-06-06,"3","0.6%",77
"tt11043488",2022-06-06,"2","0.8%",95
"tt11043488",2022-06-06,"1","1.9%",232
"tt11171932",2022-06-06,"10","27.8%",2790
"tt11171932",2022-06-06,"9","24.7%",2480
"tt11171932",2022-06-06,"8","29.9%",2993
"tt11171932",2022-06-06,"7","10.0%",1004
"tt11171932",2022-06-06,"6","3.4%",341
"tt11171932",2022-06-06,"5","1.2%",120
"tt11171932",2022-06-06,"4","0.6%",63
"tt11171932",2022-06-06,"3","0.5%",48
"tt11171932",2022-06-06,"2","0.5%",53
"tt11171932",2022-06-06,"1","1.3%",132
"tt11171954",2022-06-06,"10","31.5%",2919
"tt11171954",2022-06-06,"9","30.6%",2841
"tt11171954",2022-06-06,"8","24.5%",2271
"tt11171954",2022-06-06,"7","8.2%",757
"tt11171954",2022-06-06,"6","2.2%",202
"tt11171954",2022-06-06,"5","0.8%",77
"tt11171954",2022-06-06,"4","0.4%",39
