"IMDBCode","DATE","X1","X2","X3"
"tt1745960",2022-06-02,"10","40.3%",31967
"tt1745960",2022-06-02,"9","29.4%",23301
"tt1745960",2022-06-02,"8","19.9%",15764
"tt1745960",2022-06-02,"7","7.0%",5566
"tt1745960",2022-06-02,"6","1.7%",1389
"tt1745960",2022-06-02,"5","0.5%",422
"tt1745960",2022-06-02,"4","0.2%",193
"tt1745960",2022-06-02,"3","0.1%",118
"tt1745960",2022-06-02,"2","0.2%",124
"tt1745960",2022-06-02,"1","0.7%",535
"tt4513678",2022-06-02,"10","14.7%",22307
"tt4513678",2022-06-02,"9","11.7%",17786
"tt4513678",2022-06-02,"8","24.4%",37094
"tt4513678",2022-06-02,"7","25.4%",38486
"tt4513678",2022-06-02,"6","13.3%",20253
"tt4513678",2022-06-02,"5","5.2%",7845
"tt4513678",2022-06-02,"4","2.2%",3312
"tt4513678",2022-06-02,"3","1.1%",1699
"tt4513678",2022-06-02,"2","0.7%",1097
"tt4513678",2022-06-02,"1","1.2%",1845
"tt7286456",2022-06-02,"10","30.1%",361058
"tt7286456",2022-06-02,"9","26.8%",321342
"tt7286456",2022-06-02,"8","22.4%",268309
"tt7286456",2022-06-02,"7","11.1%",133344
"tt7286456",2022-06-02,"6","4.4%",52543
"tt7286456",2022-06-02,"5","1.8%",22097
"tt7286456",2022-06-02,"4","0.9%",10656
"tt7286456",2022-06-02,"3","0.6%",6790
"tt7286456",2022-06-02,"2","0.5%",5586
"tt7286456",2022-06-02,"1","1.3%",15986
"tt1289401",2022-06-02,"10","9.9%",22548
"tt1289401",2022-06-02,"9","3.4%",7760
"tt1289401",2022-06-02,"8","7.7%",17469
"tt1289401",2022-06-02,"7","13.1%",29818
"tt1289401",2022-06-02,"6","16.1%",36597
"tt1289401",2022-06-02,"5","13.1%",29748
"tt1289401",2022-06-02,"4","8.1%",18422
"tt1289401",2022-06-02,"3","5.7%",13047
"tt1289401",2022-06-02,"2","5.1%",11556
"tt1289401",2022-06-02,"1","17.7%",40287
"tt3079380",2022-06-02,"10","8.6%",20962
"tt3079380",2022-06-02,"9","9.0%",21806
"tt3079380",2022-06-02,"8","23.1%",55948
"tt3079380",2022-06-02,"7","31.1%",75379
"tt3079380",2022-06-02,"6","16.0%",38726
"tt3079380",2022-06-02,"5","6.1%",14778
"tt3079380",2022-06-02,"4","2.4%",5761
"tt3079380",2022-06-02,"3","1.3%",3089
"tt3079380",2022-06-02,"2","0.8%",1903
"tt3079380",2022-06-02,"1","1.7%",4204
"tt19885626",2022-06-02,"10","22.4%",2153
"tt19885626",2022-06-02,"9","15.2%",1455
"tt19885626",2022-06-02,"8","27.3%",2619
"tt19885626",2022-06-02,"7","19.3%",1852
"tt19885626",2022-06-02,"6","7.8%",752
"tt19885626",2022-06-02,"5","2.7%",259
"tt19885626",2022-06-02,"4","1.4%",133
"tt19885626",2022-06-02,"3","0.6%",61
"tt19885626",2022-06-02,"2","0.8%",76
"tt19885626",2022-06-02,"1","2.5%",237
"tt9419884",2022-06-02,"10","15.3%",28995
"tt9419884",2022-06-02,"9","11.8%",22272
"tt9419884",2022-06-02,"8","24.9%",47082
"tt9419884",2022-06-02,"7","23.8%",45069
"tt9419884",2022-06-02,"6","11.8%",22399
"tt9419884",2022-06-02,"5","4.9%",9195
"tt9419884",2022-06-02,"4","2.2%",4165
"tt9419884",2022-06-02,"3","1.3%",2391
"tt9419884",2022-06-02,"2","0.9%",1680
"tt9419884",2022-06-02,"1","3.1%",5798
"tt10872600",2022-06-02,"10","38.6%",248920
"tt10872600",2022-06-02,"9","21.9%",140934
"tt10872600",2022-06-02,"8","18.9%",122132
"tt10872600",2022-06-02,"7","10.8%",69389
"tt10872600",2022-06-02,"6","4.2%",27343
"tt10872600",2022-06-02,"5","1.7%",11102
"tt10872600",2022-06-02,"4","0.8%",5084
"tt10872600",2022-06-02,"3","0.5%",3467
"tt10872600",2022-06-02,"2","0.4%",2630
"tt10872600",2022-06-02,"1","2.2%",13868
"tt8466564",2022-06-02,"10","40.7%",11944
"tt8466564",2022-06-02,"9","18.5%",5434
"tt8466564",2022-06-02,"8","14.2%",4169
"tt8466564",2022-06-02,"7","5.9%",1744
"tt8466564",2022-06-02,"6","4.0%",1181
"tt8466564",2022-06-02,"5","3.3%",978
"tt8466564",2022-06-02,"4","2.5%",729
"tt8466564",2022-06-02,"3","2.4%",699
"tt8466564",2022-06-02,"2","2.6%",749
"tt8466564",2022-06-02,"1","5.9%",1741
"tt13636426",2022-06-02,"10","24.5%",3319
"tt13636426",2022-06-02,"9","17.3%",2349
"tt13636426",2022-06-02,"8","24.7%",3348
"tt13636426",2022-06-02,"7","14.2%",1926
"tt13636426",2022-06-02,"6","7.3%",990
