"IMDBCode","DATE","X1","X2","X3"
"tt1745960",2022-06-06,"10","39.0%",44134
"tt1745960",2022-06-06,"9","29.7%",33553
"tt1745960",2022-06-06,"8","20.4%",23094
"tt1745960",2022-06-06,"7","7.3%",8237
"tt1745960",2022-06-06,"6","1.8%",2077
"tt1745960",2022-06-06,"5","0.6%",645
"tt1745960",2022-06-06,"4","0.2%",279
"tt1745960",2022-06-06,"3","0.1%",169
"tt1745960",2022-06-06,"2","0.2%",176
"tt1745960",2022-06-06,"1","0.7%",769
"tt4513678",2022-06-06,"10","14.6%",22421
"tt4513678",2022-06-06,"9","11.7%",17899
"tt4513678",2022-06-06,"8","24.4%",37372
"tt4513678",2022-06-06,"7","25.4%",38918
"tt4513678",2022-06-06,"6","13.4%",20456
"tt4513678",2022-06-06,"5","5.2%",7942
"tt4513678",2022-06-06,"4","2.2%",3361
"tt4513678",2022-06-06,"3","1.1%",1710
"tt4513678",2022-06-06,"2","0.7%",1103
"tt4513678",2022-06-06,"1","1.2%",1863
"tt7286456",2022-06-06,"10","30.1%",361291
"tt7286456",2022-06-06,"9","26.8%",321738
"tt7286456",2022-06-06,"8","22.4%",268736
"tt7286456",2022-06-06,"7","11.1%",133592
"tt7286456",2022-06-06,"6","4.4%",52616
"tt7286456",2022-06-06,"5","1.8%",22135
"tt7286456",2022-06-06,"4","0.9%",10670
"tt7286456",2022-06-06,"3","0.6%",6801
"tt7286456",2022-06-06,"2","0.5%",5595
"tt7286456",2022-06-06,"1","1.3%",16005
"tt1289401",2022-06-06,"10","9.9%",22559
"tt1289401",2022-06-06,"9","3.4%",7760
"tt1289401",2022-06-06,"8","7.7%",17476
"tt1289401",2022-06-06,"7","13.1%",29843
"tt1289401",2022-06-06,"6","16.1%",36616
"tt1289401",2022-06-06,"5","13.1%",29766
"tt1289401",2022-06-06,"4","8.1%",18429
"tt1289401",2022-06-06,"3","5.7%",13054
"tt1289401",2022-06-06,"2","5.1%",11559
"tt1289401",2022-06-06,"1","17.7%",40310
"tt3079380",2022-06-06,"10","8.6%",20964
"tt3079380",2022-06-06,"9","9.0%",21814
"tt3079380",2022-06-06,"8","23.1%",55955
"tt3079380",2022-06-06,"7","31.1%",75408
"tt3079380",2022-06-06,"6","16.0%",38736
"tt3079380",2022-06-06,"5","6.1%",14781
"tt3079380",2022-06-06,"4","2.4%",5764
"tt3079380",2022-06-06,"3","1.3%",3090
"tt3079380",2022-06-06,"2","0.8%",1904
"tt3079380",2022-06-06,"1","1.7%",4204
"tt19885626",2022-06-06,"10","20.9%",2429
"tt19885626",2022-06-06,"9","14.8%",1719
"tt19885626",2022-06-06,"8","27.8%",3220
"tt19885626",2022-06-06,"7","20.2%",2341
"tt19885626",2022-06-06,"6","8.2%",947
"tt19885626",2022-06-06,"5","2.9%",338
"tt19885626",2022-06-06,"4","1.4%",159
"tt19885626",2022-06-06,"3","0.7%",78
"tt19885626",2022-06-06,"2","0.8%",90
"tt19885626",2022-06-06,"1","2.4%",278
"tt9419884",2022-06-06,"10","15.1%",29527
"tt9419884",2022-06-06,"9","11.7%",22740
"tt9419884",2022-06-06,"8","24.8%",48427
"tt9419884",2022-06-06,"7","24.0%",46818
"tt9419884",2022-06-06,"6","12.0%",23368
"tt9419884",2022-06-06,"5","4.9%",9611
"tt9419884",2022-06-06,"4","2.2%",4352
"tt9419884",2022-06-06,"3","1.3%",2497
"tt9419884",2022-06-06,"2","0.9%",1751
"tt9419884",2022-06-06,"1","3.1%",5970
"tt10872600",2022-06-06,"10","38.5%",249400
"tt10872600",2022-06-06,"9","21.9%",141638
"tt10872600",2022-06-06,"8","19.0%",123070
"tt10872600",2022-06-06,"7","10.8%",69966
"tt10872600",2022-06-06,"6","4.3%",27616
"tt10872600",2022-06-06,"5","1.7%",11195
"tt10872600",2022-06-06,"4","0.8%",5123
"tt10872600",2022-06-06,"3","0.5%",3503
"tt10872600",2022-06-06,"2","0.4%",2653
"tt10872600",2022-06-06,"1","2.1%",13917
"tt8466564",2022-06-06,"10","36.5%",15103
"tt8466564",2022-06-06,"9","17.3%",7174
"tt8466564",2022-06-06,"8","15.4%",6366
"tt8466564",2022-06-06,"7","6.9%",2875
"tt8466564",2022-06-06,"6","4.6%",1888
"tt8466564",2022-06-06,"5","3.7%",1536
"tt8466564",2022-06-06,"4","2.9%",1184
"tt8466564",2022-06-06,"3","2.9%",1187
"tt8466564",2022-06-06,"2","2.9%",1196
"tt8466564",2022-06-06,"1","6.9%",2871
"tt13636426",2022-06-06,"10","23.1%",3613
"tt13636426",2022-06-06,"9","15.8%",2478
"tt13636426",2022-06-06,"8","24.7%",3866
"tt13636426",2022-06-06,"7","15.2%",2386
"tt13636426",2022-06-06,"6","7.7%",1207
"tt13636426",2022-06-06,"5","4.5%",709
"tt13636426",2022-06-06,"4","2.4%",373
"tt13636426",2022-06-06,"3","1.8%",285
"tt13636426",2022-06-06,"2","1.4%",220
"tt13636426",2022-06-06,"1","3.3%",513
"tt13820658",2022-06-06,"10","24.3%",3608
"tt13820658",2022-06-06,"9","16.3%",2416
"tt13820658",2022-06-06,"8","22.6%",3349
"tt13820658",2022-06-06,"7","13.4%",1989
"tt13820658",2022-06-06,"6","7.6%",1124
"tt13820658",2022-06-06,"5","4.8%",719
"tt13820658",2022-06-06,"4","2.7%",396
"tt13820658",2022-06-06,"3","2.2%",330
"tt13820658",2022-06-06,"2","2.0%",293
"tt13820658",2022-06-06,"1","4.1%",609
"tt13840822",2022-06-06,"10","32.1%",4145
"tt13840822",2022-06-06,"9","22.6%",2919
"tt13840822",2022-06-06,"8","15.5%",1998
"tt13840822",2022-06-06,"7","7.9%",1019
"tt13840822",2022-06-06,"6","5.2%",666
"tt13840822",2022-06-06,"5","3.9%",509
"tt13840822",2022-06-06,"4","2.7%",351
"tt13840822",2022-06-06,"3","2.5%",325
"tt13840822",2022-06-06,"2","2.0%",264
"tt13840822",2022-06-06,"1","5.6%",726
"tt4574334",2022-06-06,"10","35.0%",357868
"tt4574334",2022-06-06,"9","29.5%",301566
"tt4574334",2022-06-06,"8","20.6%",210743
"tt4574334",2022-06-06,"7","8.6%",88462
"tt4574334",2022-06-06,"6","2.9%",29872
"tt4574334",2022-06-06,"5","1.2%",12090
"tt4574334",2022-06-06,"4","0.6%",5696
"tt4574334",2022-06-06,"3","0.4%",3929
"tt4574334",2022-06-06,"2","0.3%",2817
"tt4574334",2022-06-06,"1","1.0%",10229
"tt11043488",2022-06-06,"10","27.2%",3392
"tt11043488",2022-06-06,"9","23.5%",2930
"tt11043488",2022-06-06,"8","27.9%",3481
"tt11043488",2022-06-06,"7","10.9%",1359
"tt11043488",2022-06-06,"6","4.3%",530
"tt11043488",2022-06-06,"5","2.0%",244
"tt11043488",2022-06-06,"4","0.9%",115
"tt11043488",2022-06-06,"3","0.6%",81
"tt11043488",2022-06-06,"2","0.8%",99
"tt11043488",2022-06-06,"1","1.9%",235
"tt11171932",2022-06-06,"10","27.4%",2833
"tt11171932",2022-06-06,"9","24.7%",2551
"tt11171932",2022-06-06,"8","30.1%",3114
"tt11171932",2022-06-06,"7","10.1%",1048
"tt11171932",2022-06-06,"6","3.4%",349
"tt11171932",2022-06-06,"5","1.2%",126
"tt11171932",2022-06-06,"4","0.7%",70
"tt11171932",2022-06-06,"3","0.5%",52
"tt11171932",2022-06-06,"2","0.5%",53
"tt11171932",2022-06-06,"1","1.3%",134
"tt11171954",2022-06-06,"10","31.0%",2970
"tt11171954",2022-06-06,"9","30.6%",2934
"tt11171954",2022-06-06,"8","24.8%",2373
